eGasI	evarth	eEst	ePv	ePd	erho	eIi	eIh
2.93171e-06	-1.08059	1.34332e-14	1.43873e-12	0.12	2.9318e-06	7.53508e-07	7.53529e-07
2.93976e-06	-1.0768	1.38767e-14	1.48199e-12	0.12	2.93984e-06	7.57283e-07	7.57304e-07
2.89394e-06	-1.10749	1.07059e-14	1.13316e-12	0.12	2.89402e-06	7.37078e-07	7.37099e-07
2.83938e-06	-1.14692	7.75172e-15	8.09316e-13	0.12	2.83946e-06	7.13097e-07	7.13117e-07
2.79095e-06	-1.18346	5.80452e-15	5.97625e-13	0.12	2.79103e-06	2.77237e-06	2.77245e-06
2.78036e-06	-1.22524	4.21511e-15	4.0262e-13	0.12	2.78043e-06	6.9146e-07	6.91479e-07
2.73807e-06	-1.27707	2.87691e-15	2.62345e-13	0.12	2.73815e-06	6.74801e-07	6.7482e-07
2.69843e-06	-1.32171	2.09605e-15	1.85185e-13	0.12	2.69851e-06	6.58323e-07	6.58341e-07
2.67857e-06	-1.35376	1.68078e-15	1.4386e-13	0.12	2.67864e-06	0.000112748	0.000112751
2.64717e-06	-1.39122	1.3071e-15	1.09193e-13	0.12	2.64725e-06	0.000322186	0.000322195
2.60495e-06	-1.4491	8.97946e-16	7.19342e-14	0.12	2.60503e-06	0.000343467	0.000343477
2.56946e-06	-1.49893	6.57738e-16	5.09542e-14	0.12	2.56953e-06	0.00043131	0.000431322
2.55088e-06	-1.54505	4.97623e-16	3.6835e-14	0.12	2.55096e-06	0.000303402	0.000303411
2.4971e-06	-1.62467	3.13379e-16	2.21278e-14	0.12	2.49717e-06	0.00017261	0.000172615
2.47017e-06	-1.69654	2.10429e-16	1.39697e-14	0.12	2.47024e-06	4.68463e-05	4.68476e-05
2.39245e-06	-1.77117	1.41623e-16	9.37026e-15	0.12	2.39252e-06	0.000349506	0.000349515
2.34648e-06	-1.80658	1.18058e-16	7.8743e-15	0.12	2.34654e-06	0.0012953	0.00129534
2.36183e-06	-1.81253	1.14537e-16	7.46833e-15	0.12	2.36189e-06	0.00162282	0.00162287
2.35458e-06	-1.84259	9.84623e-17	6.25567e-15	0.12	2.35464e-06	0.00265847	0.00265855
2.37919e-06	-1.87923	8.21574e-17	4.8858e-15	0.12	2.37925e-06	0.00291554	0.00291562
2.41917e-06	-1.87923	8.21574e-17	4.67219e-15	0.12	2.41924e-06	0.00249835	0.00249842
2.44806e-06	-1.87923	8.21574e-17	4.51609e-15	0.12	2.44813e-06	0.00274379	0.00274386
2.45065e-06	-1.87923	8.21574e-17	4.49966e-15	0.12	2.45072e-06	0.00248825	0.00248832
2.44456e-06	-1.92908	6.45853e-17	3.37882e-15	0.12	2.44463e-06	0.00248912	0.00248919
2.46375e-06	-1.96721	5.39501e-17	2.65168e-15	0.12	2.46382e-06	0.00229203	0.0022921
2.47968e-06	-1.97363	5.23584e-17	2.50569e-15	0.12	2.47975e-06	0.002764	0.00276407
2.49068e-06	-1.98652	4.93166e-17	2.29658e-15	0.12	2.49075e-06	0.00414253	0.00414265
2.51053e-06	-1.98007	5.08144e-17	2.32031e-15	0.12	2.5106e-06	0.00375907	0.00375918
2.51007e-06	-2.006	4.50868e-17	2.00572e-15	0.12	2.51014e-06	0.00314048	0.00314057
2.55631e-06	-1.97363	5.23584e-17	2.25961e-15	0.12	2.55638e-06	0.00462247	0.0046226
2.56146e-06	-1.993	4.78636e-17	2.00903e-15	0.12	2.56153e-06	0.00359586	0.00359596
2.58654e-06	-1.993	4.78636e-17	1.93723e-15	0.12	2.58661e-06	0.00449582	0.00449595
2.59882e-06	-1.99949	4.64543e-17	1.83401e-15	0.12	2.59889e-06	0.00296949	0.00296957
2.59737e-06	-2.02565	4.12241e-17	1.58726e-15	0.12	2.59744e-06	0.00394532	0.00394543
2.62632e-06	-1.98007	5.08144e-17	1.95952e-15	0.12	2.62639e-06	0.00516348	0.00516363
2.62743e-06	-1.993	4.78636e-17	1.81757e-15	0.12	2.6275e-06	0.00414715	0.00414727
2.65425e-06	-1.98007	5.08144e-17	1.87314e-15	0.12	2.65432e-06	0.00398737	0.00398748
2.67594e-06	-1.98007	5.08144e-17	1.80708e-15	0.12	2.67601e-06	0.00455419	0.00455432
2.71173e-06	-1.97363	5.23584e-17	1.7622e-15	0.12	2.71181e-06	0.00467496	0.0046751
2.69851e-06	-1.96721	5.39501e-17	1.8694e-15	0.12	2.69858e-06	0.0061925	0.00619267
